week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
5/9/2020,5/2/2020,04000US22,Louisiana,40125,325136,1891334,17.19,1.589E+12,"May 9th, 2020",04000US22,Louisiana
5/9/2020,5/2/2020,04000US27,Minnesota,37669,429187,2864234,14.98,1.589E+12,"May 9th, 2020",04000US27,Minnesota
5/9/2020,5/2/2020,04000US34,New Jersey,69689,715433,4025826,17.77,1.589E+12,"May 9th, 2020",04000US34,New Jersey
5/9/2020,5/2/2020,04000US55,Wisconsin,38710,313248,2853837,10.98,1.589E+12,"May 9th, 2020",04000US55,Wisconsin
5/2/2020,4/25/2020,04000US08,Colorado,28360,228683,2666358,8.58,1.58839E+12,"May 2nd, 2020",04000US08,Colorado
5/2/2020,4/25/2020,04000US22,Louisiana,50941,310013,1891334,16.39,1.58839E+12,"May 2nd, 2020",04000US22,Louisiana
5/2/2020,4/25/2020,04000US27,Minnesota,41492,420212,2864234,14.67,1.58839E+12,"May 2nd, 2020",04000US27,Minnesota
5/2/2020,4/25/2020,04000US34,New Jersey,88326,642651,4025826,15.96,1.58839E+12,"May 2nd, 2020",04000US34,New Jersey
5/2/2020,4/25/2020,04000US55,Wisconsin,37885,314025,2853837,11,1.58839E+12,"May 2nd, 2020",04000US55,Wisconsin
4/25/2020,4/18/2020,04000US08,Colorado,38662,228713,2666358,8.58,1.58779E+12,"April 25th, 2020",04000US08,Colorado
4/25/2020,4/18/2020,04000US22,Louisiana,66141,300657,1891334,15.9,1.58779E+12,"April 25th, 2020",04000US22,Louisiana
4/25/2020,4/18/2020,04000US27,Minnesota,48595,416993,2864234,14.56,1.58779E+12,"April 25th, 2020",04000US27,Minnesota
4/25/2020,4/18/2020,04000US34,New Jersey,71966,621753,4025826,15.44,1.58779E+12,"April 25th, 2020",04000US34,New Jersey
4/25/2020,4/18/2020,04000US55,Wisconsin,49993,321063,2853837,11.25,1.58779E+12,"April 25th, 2020",04000US55,Wisconsin
4/18/2020,4/11/2020,04000US08,Colorado,67639,171434,2666358,6.43,1.58718E+12,"April 18th, 2020",04000US08,Colorado
4/18/2020,4/11/2020,04000US22,Louisiana,91923,246296,1891334,13.02,1.58718E+12,"April 18th, 2020",04000US22,Louisiana
4/18/2020,4/11/2020,04000US27,Minnesota,74829,391284,2864234,13.66,1.58718E+12,"April 18th, 2020",04000US27,Minnesota
4/18/2020,4/11/2020,04000US34,New Jersey,140139,556005,4025826,13.81,1.58718E+12,"April 18th, 2020",04000US34,New Jersey
4/18/2020,4/11/2020,04000US55,Wisconsin,55883,299532,2853837,10.5,1.58718E+12,"April 18th, 2020",04000US55,Wisconsin
4/11/2020,4/4/2020,04000US08,Colorado,104572,166593,2666358,6.25,1.58658E+12,"April 11th, 2020",04000US08,Colorado
4/11/2020,4/4/2020,04000US22,Louisiana,79653,217532,1891334,11.5,1.58658E+12,"April 11th, 2020",04000US22,Louisiana
