Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,1/6/2019,34,NJ,34009,Cape May County,"22,351","69,926","303,700","78,949","68,281","39,505","51,673","40,996","15,265","5,686","2,256",280,809
County,1/6/2019,34,NJ,34011,Cumberland County,"30,222","120,289","541,129","141,645","146,306","64,053","73,675","70,009","34,639","7,574","2,677",156,395
County,1/6/2019,34,NJ,34013,Essex County,"197,233","600,089","2,729,781","867,684","756,412","332,804","344,872","316,022","70,313","23,256","11,715","2,618","4,085"
County,1/6/2019,34,NJ,34015,Gloucester County,"56,951","233,566","1,053,296","257,997","269,891","131,981","160,875","165,814","44,813","14,543","5,798",785,799
County,1/6/2019,34,NJ,34017,Hudson County,"195,233","478,762","2,122,878","775,104","586,894","241,322","250,396","179,175","52,365","18,703","11,375","2,613","4,931"
County,1/6/2019,34,NJ,34019,Hunterdon County,"21,000","103,333","445,207","87,175","103,774","59,238","68,953","74,775","33,641","13,627","2,774",381,869
County,1/6/2019,34,NJ,34021,Mercer County,"82,096","286,585","1,257,559","330,589","355,936","164,397","171,887","135,723","62,778","28,014","5,791","1,109","1,335"
County,1/6/2019,34,NJ,34023,Middlesex County,"173,372","653,777","2,824,823","735,672","741,214","348,458","409,339","353,875","180,423","35,869","13,581","2,891","3,501"
County,1/6/2019,34,NJ,34025,Monmouth County,"122,273","497,182","2,200,254","580,135","586,786","280,028","297,848","253,231","138,877","45,637","11,716","2,226","3,770"
County,1/6/2019,34,NJ,34027,Morris County,"98,598","394,119","1,701,397","381,639","467,897","212,086","258,961","245,393","99,830","22,484","8,570","1,807","2,730"
County,1/6/2019,34,NJ,34029,Ocean County,"119,678","480,134","2,100,717","500,551","587,073","256,701","286,565","247,168","127,936","78,164","8,650","2,152","5,757"
County,1/6/2019,34,NJ,34031,Passaic County,"109,202","392,570","1,750,802","503,166","449,686","203,533","256,703","249,427","59,572","18,454","8,449","1,029",783
County,1/6/2019,34,NJ,34033,Salem County,"13,114","49,302","213,940","49,612","44,029","27,289","35,414","38,126","14,027","3,455","1,538",194,256
County,1/6/2019,34,NJ,34035,Somerset County,"62,528","267,624","1,199,461","287,869","319,289","144,731","194,617","154,960","72,456","16,287","6,467",922,"1,863"
County,1/6/2019,34,NJ,34037,Sussex County,"27,151","113,218","478,051","91,264","124,390","64,805","70,577","73,974","38,921","10,653","2,699",268,500
County,1/6/2019,34,NJ,34039,Union County,"123,988","432,373","1,950,995","584,230","548,685","217,220","250,240","239,627","71,127","20,279","12,121","2,894","4,572"
County,1/6/2019,34,NJ,34041,Warren County,"20,972","84,484","365,955","86,236","84,284","40,742","48,708","63,643","27,850","12,151","1,559",149,633
County,1/7/2019,34,NJ,34025,Monmouth County,"112,006","507,449","2,289,480","612,652","555,845","275,441","300,708","309,039","177,321","44,472","8,368","1,688","3,946"
County,1/7/2019,34,NJ,34027,Morris County,"88,705","404,012","1,764,466","442,843","443,349","198,375","263,265","276,105","112,321","18,705","5,628","1,313","2,562"
