Date,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips
12/30/2019,Hunterdon County,"20,817","103,516","416,197"
12/30/2019,Mercer County,"82,847","285,834","1,325,647"
12/30/2019,Middlesex County,"169,258","657,891","2,930,216"
12/30/2019,Monmouth County,"126,161","493,294","2,059,450"
12/30/2019,Morris County,"96,056","396,661","1,680,675"
12/30/2019,Ocean County,"122,844","476,968","2,135,851"
12/30/2019,Passaic County,"111,951","389,821","1,834,454"
12/30/2019,Salem County,"13,672","48,744","202,572"
12/30/2019,Somerset County,"61,266","268,886","1,120,531"
12/30/2019,Sussex County,"26,049","114,320","479,279"
12/30/2019,Union County,"124,358","432,003","2,109,718"
12/30/2019,Warren County,"20,592","84,864","372,834"
12/31/2019,Atlantic County,"51,129","213,489","1,187,514"
12/31/2019,Bergen County,"171,407","762,422","4,334,577"
12/31/2019,Burlington County,"74,944","369,079","2,094,660"
12/31/2019,Camden County,"98,046","407,482","2,523,552"
12/31/2019,Cape May County,"20,288","71,989","408,211"
12/31/2019,Cumberland County,"27,403","123,108","739,922"
12/31/2019,Essex County,"181,599","615,723","3,688,182"
12/31/2019,Gloucester County,"49,165","241,352","1,414,151"
12/31/2019,Hudson County,"182,601","491,394","2,697,795"
12/31/2019,Hunterdon County,"17,114","107,219","550,672"
12/31/2019,Mercer County,"69,963","298,718","1,739,557"
12/31/2019,Middlesex County,"142,745","684,404","3,822,692"
12/31/2019,Monmouth County,"103,102","516,353","2,868,394"
12/31/2019,Morris County,"79,882","412,835","2,228,789"
12/31/2019,Ocean County,"101,774","498,038","2,957,440"
12/31/2019,Passaic County,"98,229","403,543","2,342,287"
12/31/2019,Salem County,"10,857","51,559","300,738"
12/31/2019,Somerset County,"51,048","279,104","1,467,984"
12/31/2019,Sussex County,"21,011","119,358","655,829"
12/31/2019,Union County,"107,688","448,673","2,715,466"
12/31/2019,Warren County,"16,295","89,161","487,367"
1/1/2020,Atlantic County,"69,389","196,040","788,240"
1/1/2020,Bergen County,"255,719","680,973","2,780,919"
1/1/2020,Burlington County,"116,282","329,102","1,351,837"
1/1/2020,Camden County,"140,902","366,176","1,493,737"
1/1/2020,Cape May County,"26,719","65,841","293,162"
1/1/2020,Cumberland County,"37,935","113,037","456,150"
1/1/2020,Essex County,"235,064","564,703","2,303,989"
1/1/2020,Gloucester County,"74,411","216,997","887,131"
1/1/2020,Hudson County,"229,989","446,072","1,817,931"
1/1/2020,Hunterdon County,"29,041","95,673","356,210"
1/1/2020,Mercer County,"102,209","267,602","1,127,727"
1/1/2020,Middlesex County,"213,338","616,347","2,384,820"
1/1/2020,Monmouth County,"157,351","464,003","1,901,918"
1/1/2020,Morris County,"127,992","366,236","1,403,599"
1/1/2020,Ocean County,"153,132","448,519","1,847,914"
1/1/2020,Passaic County,"134,999","368,311","1,432,318"
1/1/2020,Salem County,"15,676","46,931","196,635"
1/1/2020,Somerset County,"84,727","246,437","938,525"
1/1/2020,Sussex County,"35,373","105,426","383,057"
1/1/2020,Union County,"151,879","406,188","1,728,418"
1/1/2020,Warren County,"26,244","79,535","303,475"
